LogID,UserID,Role,Timestamp,HTTP_Method,Endpoint,IP_Address,HTTP_Response,Anomalous
01e54ecc-e3c8-4600-9682-07a97b4386c0,54,Staff,2024-12-25 12:39:30,PATCH,/claims/status/9316,10.0.0.167,200,0
88784851-c93d-4ea7-960e-98f156118f7b,44,Nurse,2025-02-02 10:14:36,GET,/pharmacy/refills/6199,10.0.0.63,200,0
69690f6c-f297-49fc-a5ab-a32d78840d42,25,Nurse,2025-02-20 08:06:46,GET,/pharmacy/orders/9112,10.0.0.110,200,0
69f3d74c-7f07-46c8-a4e1-eb8cfa94d751,35,Nurse,2024-12-28 03:17:27,PATCH,/patient/insurance/2661,10.0.0.182,200,0
69b4a9f5-d6cf-4826-91fd-62468406d4e4,45,Nurse,2025-01-20 08:52:20,HEAD,/claims/status/6927,10.0.0.216,200,0
0aac9217-0840-47d5-98c7-50fc9026552b,58,Staff,2025-01-13 06:22:13,POST,/patient/scheduling,10.0.0.209,302,0
c622fcff-5ab0-47c0-aeca-fbc5955cca16,67,Admin,2024-12-07 10:31:57,POST,/admin/logs,10.0.0.253,200,0
f1f24e82-7a54-4d54-835b-f8180af34062,32,Nurse,2025-01-04 06:37:17,POST,/claims/status/6373,10.0.0.238,201,0
2a128bce-78be-4b6c-8ba5-26494256eaae,43,Nurse,2024-12-10 09:13:39,POST,/patient/records/1573?export=true&limit=1000,10.0.0.58,500,0
584866cb-742c-4f0d-ae44-560131999bac,44,Nurse,2024-12-05 07:59:01,GET,/patient/appointments/confirm,10.0.0.223,200,0
9958a68a-52e9-4663-9df4-4a09ffb46446,35,Nurse,2025-01-12 14:37:39,HEAD,/lab/results/7293,10.0.0.166,200,0
95622abd-31d4-48e1-a77b-ae862368f3ba,19,Doctor,2024-12-25 03:45:08,GET,/pharmacy/refills/5227,10.0.0.156,200,0
bbdfc6fc-0be3-46be-a484-4e845b7d130c,61,Admin,2024-12-07 17:33:14,POST,/patient/records/9628?export=true&limit=1000,10.0.0.105,200,0
d1bb9124-cb96-4e5c-bb03-5353f1808731,70,Admin,2024-12-18 02:07:26,GET,/admin/settings/66,10.0.0.218,200,0
0200d0b1-9f0d-4f84-ad23-a6b265a45bfe,58,Staff,2025-01-20 09:40:38,PATCH,/billing/invoices/6313?export=true&limit=500,10.0.0.154,200,0
4002d553-45e3-4f70-a689-1ee537670148,23,Nurse,2025-02-10 20:28:01,GET,/patient/labs/5466,10.0.0.65,403,0
90c0d2f1-22d6-4672-b988-14904602fe8c,52,Staff,2024-12-20 10:36:42,POST,/billing/invoices/3065?export=true&limit=500,10.0.0.89,304,0
d060fa9f-aef1-4e71-a927-c735b16b4ced,43,Nurse,2025-01-20 12:40:22,POST,/claims/status/3991,10.0.0.167,200,0
e6286e87-d9e9-4afa-b960-b17e4cdd551c,30,Nurse,2025-01-12 08:48:27,GET,/patient/appointments/confirm,10.0.0.201,200,0
c184eb5b-4146-43b4-b143-eb66f06f3dbc,27,Nurse,2024-12-08 00:24:51,GET,/patient/appointments/confirm,10.0.0.241,200,0
7771346d-0966-4a9e-aabb-e8289b0480bc,60,Staff,2024-12-03 00:29:12,POST,/billing/invoices/9070?export=true&limit=500,10.0.0.189,200,0
74507d24-8892-4857-9e1c-67499d77c325,6,Doctor,2025-02-08 10:16:18,GET,/patient/appointments/cancel,10.0.0.208,304,0
b56b149e-4e99-4458-9e05-10b42fb75549,39,Nurse,2025-02-24 02:54:40,HEAD,/patient/labs/3236,10.0.0.64,304,0
e013cdc1-6dee-4a72-80e2-b82b3191a753,29,Nurse,2024-12-20 14:01:23,GET,/patient/labs/8413,10.0.0.211,200,0
f5df96d1-d211-424c-a3f2-430c14a3c6dc,24,Nurse,2025-01-18 07:38:09,POST,/patient/appointments/confirm,10.0.0.237,200,0
b7660c39-c14b-480e-b93d-70676c2a4e14,59,Staff,2025-01-09 06:38:57,GET,/pharmacy/orders/9333,10.0.0.197,403,0
a3174be2-d077-4a4c-b829-75a012f69abe,36,Nurse,2025-01-04 06:03:59,GET,/patient/appointments/cancel,10.0.0.169,200,0
86603dc5-b93a-43db-b8fb-3703fbaa8275,14,Doctor,2025-01-28 05:41:42,GET,/claims/status/6502,10.0.0.226,200,0
0c61c32d-d1e5-4602-80f9-ccb40bbf7715,58,Staff,2025-01-12 01:11:02,GET,/pharmacy/refills/8802,10.0.0.65,200,0
2c43a421-57dc-4c87-90f2-8c9e2066c3c5,24,Nurse,2024-12-27 10:27:43,GET,/pharmacy/orders/9688,10.0.0.79,200,0
7bd6d045-3bb7-4996-bad2-5a9a1ebb6665,17,Doctor,2025-02-06 08:44:04,GET,/claims/status/6611,10.0.0.219,200,0
4d3f9b06-0187-491a-874e-be197a6d6c7d,31,Nurse,2024-12-02 07:57:10,GET,/patient/appointments/confirm,37.147.238.49,200,0
a9839a28-f47b-45f0-8a17-657a8eda2833,50,Staff,2025-02-15 13:25:15,POST,/lab/results/8972,10.0.0.124,302,0
9999e765-7c95-431a-93e1-b3c1832d143f,49,Staff,2025-01-23 06:37:06,GET,/pharmacy/orders/6848,10.0.0.152,200,0
fe58c857-0c01-4e03-9159-df3dfd4ee610,69,Admin,2024-12-25 13:10:24,POST,/admin/logs,10.0.0.27,200,0
4853eff7-b0a8-43d4-a4ef-62a58121d8b1,44,Nurse,2025-01-06 04:12:45,GET,/patient/labs/6301,10.0.0.40,304,0
72f86a97-b247-433f-bed2-42c5531a7274,29,Nurse,2025-01-16 04:00:40,GET,/patient/labs/8048,10.0.0.140,403,0
c9e71d80-4b41-44f6-9f9d-3d8a52d9203d,49,Staff,2025-02-10 13:45:22,GET,/claims/status/8310,10.0.0.103,201,0
