Endpoint,Count
/patient/insurance,4485
/admin/credentials/62,283
/admin/logs/69,282
/admin/credentials/67,279
/admin/credentials/70,278
/admin/credentials/69,278
/admin/settings/62,277
/admin/settings/64,276
/admin/settings/66,275
/admin/settings/70,274
/admin/settings/65,273
/admin/settings/69,269
/admin/settings/61,268
/admin/logs/65,266
/admin/logs/70,266
/admin/settings/67,265
/admin/credentials/61,264
/admin/credentials/65,263
/admin/logs/67,254
/admin/credentials/63,251
/admin/credentials/68,250
/admin/users/63,250
/admin/settings/68,250
/admin/users/62,248
/admin/users/67,247
/admin/users/68,245
/admin/users/70,242
/admin/logs/61,241
/admin/settings/63,241
/admin/users/65,239
/admin/users/66,239
/admin/logs/62,238
/admin/logs/66,237
/admin/credentials/66,236
/admin/logs/64,235
/admin/logs/63,232
/admin/users/69,231
/admin/credentials/64,226
/admin/users/61,225
/admin/logs/68,224
/admin/users/64,218
/login/attempts/63?attempts=5,48
/login/attempts/64?attempts=5,44
/login/attempts/51?attempts=5,40
/login/attempts/67?attempts=5,40
/login/attempts/68?attempts=5,36
/login/attempts/65?attempts=5,36
/login/attempts/60?attempts=5,32
/login/attempts/62?attempts=5,32
/login/attempts/69?attempts=5,28
/login/attempts/35?attempts=5,28
/login/attempts/61?attempts=5,28
/login/attempts/58?attempts=5,28
/login/attempts/49?attempts=5,24
/login/attempts/66?attempts=5,24
/patient/scheduling/755,22
/patient/scheduling/982,21
/login/attempts/59?attempts=5,20
/login/attempts/46?attempts=5,20
/patient/appointments/cancel/602,20
/patient/appointments/cancel/897,19
/patient/appointments/cancel/609,19
/patient/appointments/711,19
/patient/appointments/cancel/669,19
/patient/appointments/632,18
/patient/scheduling/675,18
/patient/appointments/confirm/968,18
/patient/scheduling/977,18
/patient/appointments/cancel/534,18
/patient/appointments/confirm/663,18
/patient/appointments/cancel/989,17
/patient/scheduling/513,17
/patient/appointments/558,17
/patient/appointments/confirm/757,17
/patient/scheduling/906,17
/patient/appointments/cancel/575,17
/patient/appointments/confirm/716,17
/patient/appointments/confirm/927,17
/patient/appointments/974,17
/patient/appointments/675,17
/patient/appointments/911,16
/patient/appointments/954,16
/patient/appointments/confirm/986,16
/patient/appointments/889,16
/patient/appointments/confirm/961,16
/patient/appointments/783,16
/patient/scheduling/876,16
/patient/appointments/996,16
/patient/scheduling/973,16
/patient/scheduling/668,16
/patient/scheduling/778,16
/login/attempts/47?attempts=5,16
/patient/appointments/cancel/697,16
/patient/scheduling/825,16
/patient/scheduling/951,16
/patient/appointments/cancel/737,16
/patient/appointments/confirm/572,16
/patient/appointments/cancel/700,16
/login/attempts/70?attempts=5,16
/patient/appointments/780,15
/patient/appointments/confirm/526,15
/patient/appointments/confirm/518,15
/patient/scheduling/929,15
/patient/scheduling/628,15
/patient/appointments/confirm/530,15
/patient/scheduling/861,15
/patient/appointments/916,15
/patient/appointments/775,15
/patient/scheduling/680,15
/patient/appointments/confirm/652,15
/patient/appointments/cancel/691,15
/patient/appointments/877,15
/patient/appointments/confirm/836,15
/patient/scheduling/965,15
/patient/appointments/cancel/619,15
/patient/scheduling/783,15
/patient/appointments/confirm/536,15
/patient/appointments/confirm/615,15
/patient/appointments/confirm/659,15
/patient/appointments/cancel/616,15
/patient/appointments/confirm/724,15
/patient/scheduling/553,15
/patient/appointments/797,15
/patient/appointments/cancel/680,15
/patient/appointments/817,15
/patient/scheduling/714,15
/patient/appointments/cancel/903,15
/patient/scheduling/978,15
/patient/appointments/cancel/925,15
/patient/appointments/944,15
/patient/appointments/confirm/728,15
/patient/appointments/573,15
/patient/appointments/cancel/532,15
/patient/appointments/742,14
/patient/appointments/cancel/717,14
/patient/scheduling/830,14
/patient/appointments/cancel/839,14
/patient/appointments/cancel/943,14
/patient/appointments/confirm/604,14
/patient/appointments/cancel/690,14
/patient/appointments/976,14
/patient/appointments/525,14
/patient/scheduling/874,14
/patient/appointments/851,14
/patient/scheduling/546,14
/patient/appointments/693,14
/patient/appointments/confirm/876,14
/patient/appointments/confirm/931,14
/patient/appointments/confirm/865,14
/patient/appointments/997,14
/patient/appointments/confirm/619,14
/patient/appointments/699,14
/patient/appointments/confirm/964,14
/patient/appointments/840,14
/patient/scheduling/956,14
/patient/appointments/939,14
/patient/scheduling/837,14
/patient/appointments/cancel/867,14
/patient/scheduling/891,14
/patient/appointments/738,14
/patient/appointments/cancel/984,14
/patient/appointments/cancel/633,14
/patient/appointments/confirm/943,14
/patient/appointments/cancel/792,14
/patient/scheduling/878,14
/patient/appointments/confirm/745,14
/patient/scheduling/702,14
/patient/appointments/confirm/520,14
/patient/scheduling/706,14
/patient/scheduling/525,14
/patient/appointments/839,14
/patient/appointments/678,14
/patient/appointments/confirm/558,14
/patient/scheduling/681,14
/patient/appointments/cancel/970,14
/patient/appointments/623,14
/patient/appointments/816,14
/patient/appointments/confirm/708,14
/patient/appointments/981,14
/patient/scheduling/521,14
/patient/appointments/cancel/771,14
/patient/appointments/cancel/587,14
/patient/appointments/confirm/885,14
/patient/appointments/cancel/683,14
/patient/appointments/597,14
/patient/appointments/cancel/952,14
/patient/appointments/575,14
/patient/appointments/cancel/562,14
/patient/appointments/807,14
/patient/appointments/cancel/785,14
/patient/appointments/cancel/981,14
/patient/appointments/confirm/784,14
/patient/scheduling/728,14
/patient/appointments/cancel/913,14
/patient/appointments/confirm/545,14
/patient/appointments/confirm/947,14
/patient/appointments/cancel/782,13
/patient/appointments/cancel/892,13
/patient/scheduling/994,13
/patient/appointments/958,13
/patient/scheduling/700,13
/patient/appointments/cancel/876,13
/patient/appointments/confirm/883,13
/patient/appointments/968,13
/patient/appointments/cancel/810,13
/patient/appointments/754,13
/patient/appointments/cancel/617,13
/patient/appointments/confirm/670,13
/patient/appointments/cancel/704,13
/patient/appointments/cancel/571,13
/patient/appointments/627,13
/patient/appointments/confirm/546,13
/patient/appointments/cancel/815,13
