LogID,UserID,Role,Timestamp,HTTP_Method,Endpoint,IP_Address,User_Agent,HTTP_Response,Anomalous,Hour,IP_First_Octet,IP_Second_Octet,IP_Third_Octet,IP_Fourth_Octet,Date,IP_Octets,IP_Combined,UserID_Zscore
4742b474-91f6-4ed5-b5cd-0035c1e91566,3,Doctor,2024-12-30 10:53:40,POST,/pharmacy/orders/9427,10.0.0.253,Python-urllib/3.9,302,0,10,10,0,0,253,2024-12-30,"[10, 0, 0, 253]",10.0.0.253,3.2008291785491876
65b63ce4-2114-4564-8a52-c1375f21349e,2,Doctor,2024-11-08 10:41:42,POST,/pharmacy/refills/5119,10.0.0.22,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),200,0,10,10,0,0,22,2024-11-08,"[10, 0, 0, 22]",10.0.0.22,3.265036643479668
b9abc7c0-7748-4665-bec4-a2b62a51130a,3,Doctor,2024-11-03 11:44:55,POST,/patient/appointments/cancel/693,10.0.0.100,Mozilla/5.0 (iPhone; CPU iPhone OS 14_0 like Mac OS X),200,0,11,10,0,0,100,2024-11-03,"[10, 0, 0, 100]",10.0.0.100,3.2008291785491876
2700fa72-818b-42a1-af72-8be837918624,3,Doctor,2024-11-09 01:22:56,GET,/pharmacy/refills/7612,10.0.0.50,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko)",200,0,1,10,0,0,50,2024-11-09,"[10, 0, 0, 50]",10.0.0.50,3.2008291785491876
44bc40c2-ab37-4905-bc92-acd4505102cd,2,Doctor,2024-12-12 08:53:48,POST,/lab/results/8664,10.0.0.68,Mozilla/5.0 (iPhone; CPU iPhone OS 14_0 like Mac OS X),200,0,8,10,0,0,68,2024-12-12,"[10, 0, 0, 68]",10.0.0.68,3.265036643479668
491afad8-011b-4659-9505-74982ed5df7a,3,Doctor,2024-12-09 08:41:51,POST,/patient/records/7099?export=true&limit=1000,10.0.0.69,Mozilla/5.0 (X11; Linux x86_64),302,0,8,10,0,0,69,2024-12-09,"[10, 0, 0, 69]",10.0.0.69,3.2008291785491876
a31cfb52-1b61-4201-a805-eb7b1f746e60,3,Doctor,2025-01-02 01:14:04,GET,/patient/appointments/905,10.0.0.158,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,0,1,10,0,0,158,2025-01-02,"[10, 0, 0, 158]",10.0.0.158,3.2008291785491876
7319f22f-c228-40da-9288-9dab39b9e8eb,3,Doctor,2024-12-22 08:58:59,POST,/patient/insurance,10.0.0.203,Mozilla/5.0 (X11; Linux x86_64),201,0,8,10,0,0,203,2024-12-22,"[10, 0, 0, 203]",10.0.0.203,3.2008291785491876
99d8a8a8-35ab-44ad-81ad-eece2d06d880,2,Doctor,2024-12-14 21:02:57,GET,/patient/appointments/cancel/971,10.0.0.45,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),304,0,21,10,0,0,45,2024-12-14,"[10, 0, 0, 45]",10.0.0.45,3.265036643479668
94351977-c814-4866-9f56-eaf9b8044826,2,Doctor,2024-12-03 11:37:42,DELETE,/patient/records/1765?export=true&limit=1000,10.0.0.51,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko)",404,1,11,10,0,0,51,2024-12-03,"[10, 0, 0, 51]",10.0.0.51,3.265036643479668
